chebi_id	proteintraitsmech_trait	cofactor_name	microgrowagents_cofactor_id	microgrowagents_category	pfas_name
CHEBI:72953	proteintraitsmech:COFACTOR_REQ_CHEBI_72953	decylplastoquinone			
CHEBI:73095	proteintraitsmech:COFACTOR_REQ_CHEBI_73095	divinyl chlorophyll a(1−)			
CHEBI:73096	proteintraitsmech:COFACTOR_REQ_CHEBI_73096	divinyl chlorophyll b(1−)			
CHEBI:73113	proteintraitsmech:COFACTOR_REQ_CHEBI_73113	divinyl chlorophyll a			
CHEBI:73115	proteintraitsmech:COFACTOR_REQ_CHEBI_73115	divinyl chlorophyll b			
CHEBI:74252	proteintraitsmech:COFACTOR_REQ_CHEBI_74252	rhizobactin 1021			
CHEBI:77805	proteintraitsmech:COFACTOR_REQ_CHEBI_77805	enterobactin(1−)			
CHEBI:80049	proteintraitsmech:COFACTOR_REQ_CHEBI_80049	coelichelin			
CHEBI:80214	proteintraitsmech:COFACTOR_REQ_CHEBI_80214	3'-hydroxyechinenone			
CHEBI:83088	proteintraitsmech:COFACTOR_REQ_CHEBI_83088	(R)-lipoate			
CHEBI:83125	proteintraitsmech:COFACTOR_REQ_CHEBI_83125	desferricoprogen			
CHEBI:83127	proteintraitsmech:COFACTOR_REQ_CHEBI_83127	desferricoprogen(3−)			
CHEBI:83198	proteintraitsmech:COFACTOR_REQ_CHEBI_83198	desferrialbomycins			
CHEBI:84046	proteintraitsmech:COFACTOR_REQ_CHEBI_84046	pyoverdine			
CHEBI:84582	proteintraitsmech:COFACTOR_REQ_CHEBI_84582	schizokinen			
CHEBI:84585	proteintraitsmech:COFACTOR_REQ_CHEBI_84585	vibrioferrin			
CHEBI:84630	proteintraitsmech:COFACTOR_REQ_CHEBI_84630	vibrioferrin(3−)			
CHEBI:84700	proteintraitsmech:COFACTOR_REQ_CHEBI_84700	desferrioxamine B(3−)			
CHEBI:84711	proteintraitsmech:COFACTOR_REQ_CHEBI_84711	staphyloferrin A			
CHEBI:84724	proteintraitsmech:COFACTOR_REQ_CHEBI_84724	coelichelin(3−)			
CHEBI:84730	proteintraitsmech:COFACTOR_REQ_CHEBI_84730	desferrioxamine E(3−)			
CHEBI:84731	proteintraitsmech:COFACTOR_REQ_CHEBI_84731	rhodotorulic acid			
CHEBI:87531	proteintraitsmech:COFACTOR_REQ_CHEBI_87531	prenyl-FMNH2			
CHEBI:87746	proteintraitsmech:COFACTOR_REQ_CHEBI_87746	prenyl-FMN(2−)			
CHEBI:87749	proteintraitsmech:COFACTOR_REQ_CHEBI_87749	prenyl-FMN			
CHEBI:90132	proteintraitsmech:COFACTOR_REQ_CHEBI_90132	deferrichrome			
CHEBI:113451	proteintraitsmech:COFACTOR_REQ_CHEBI_113451	sodium ascorbate			
CHEBI:131529	proteintraitsmech:COFACTOR_REQ_CHEBI_131529	pyridoxal hydrochloride			
CHEBI:133861	proteintraitsmech:COFACTOR_REQ_CHEBI_133861	desferricoprogen B			
CHEBI:133862	proteintraitsmech:COFACTOR_REQ_CHEBI_133862	desferricoprogen B(3−)			
CHEBI:133868	proteintraitsmech:COFACTOR_REQ_CHEBI_133868	mevalonyl-CoA			
CHEBI:133870	proteintraitsmech:COFACTOR_REQ_CHEBI_133870	anhydromevalonyl-CoA			
CHEBI:133980	proteintraitsmech:COFACTOR_REQ_CHEBI_133980	oxidised coenzyme F420-(γ-Glu)n polyanion			
CHEBI:134061	proteintraitsmech:COFACTOR_REQ_CHEBI_134061	TTQ cofactor			
CHEBI:134612	proteintraitsmech:COFACTOR_REQ_CHEBI_134612	staphyloferrin B			
