# GO term -> ChEBI (logical-definition cross-products, go-plus.json)
GO:0006154	CHEBI:16335
GO:0006157	CHEBI:17256
GO:0006161	CHEBI:17172
GO:0006163	CHEBI:26395
GO:0006164	CHEBI:26395
GO:0006166	CHEBI:26399
GO:0006167	CHEBI:456215
GO:0006168	CHEBI:16708
GO:0006169	CHEBI:16335
GO:0006170	CHEBI:58245
GO:0006171	CHEBI:58165
GO:0006172	CHEBI:456216
GO:0006173	CHEBI:57667
GO:0006175	CHEBI:61404
GO:0006177	CHEBI:58115
GO:0006178	CHEBI:16235
GO:0006179	CHEBI:16750
GO:0006180	CHEBI:17172
GO:0006181	CHEBI:57673
GO:0006182	CHEBI:57746
GO:0006183	CHEBI:37565
GO:0006185	CHEBI:58595
GO:0006188	CHEBI:58053
GO:0006190	CHEBI:17596
GO:0006191	CHEBI:28997
GO:0006193	CHEBI:61402
GO:0006195	CHEBI:26395
GO:0006196	CHEBI:456215
GO:0006198	CHEBI:58165
GO:0006203	CHEBI:61429
GO:0006204	CHEBI:58053
GO:0006206	CHEBI:26432
GO:0006208	CHEBI:26432
GO:0006209	CHEBI:16040
GO:0006210	CHEBI:17821
GO:0006212	CHEBI:17568
GO:0006213	CHEBI:26440
GO:0006214	CHEBI:17748
GO:0006216	CHEBI:17562
GO:0006217	CHEBI:15698
GO:0006218	CHEBI:16704
GO:0006219	CHEBI:16450
GO:0006220	CHEBI:26441
GO:0006221	CHEBI:26441
GO:0006222	CHEBI:57865
GO:0006223	CHEBI:17568
GO:0006225	CHEBI:58223
GO:0006226	CHEBI:246422
GO:0006227	CHEBI:60471
GO:0006228	CHEBI:46398
GO:0006229	CHEBI:61555
GO:0006230	CHEBI:142797
GO:0006231	CHEBI:63528
GO:0006232	CHEBI:61417
GO:0006233	CHEBI:58369
GO:0006234	CHEBI:63527
GO:0006235	CHEBI:37568
GO:0006237	CHEBI:15698
GO:0006238	CHEBI:60377
GO:0006239	CHEBI:57566
GO:0006240	CHEBI:58593
GO:0006241	CHEBI:37563
GO:0006242	CHEBI:61481
GO:0006244	CHEBI:26441
GO:0006245	CHEBI:61417
GO:0006246	CHEBI:58369
GO:0006248	CHEBI:60377
GO:0006249	CHEBI:57566
GO:0006251	CHEBI:58593
GO:0006253	CHEBI:61481
GO:0006254	CHEBI:37563
GO:0006256	CHEBI:58223
GO:0006257	CHEBI:60471
GO:0006259	CHEBI:16991
GO:0006308	CHEBI:16991
GO:0006351	CHEBI:16991
GO:0006401	CHEBI:33697
GO:0006402	CHEBI:33699
GO:0006404	CHEBI:33697
GO:0006405	CHEBI:33697
GO:0006406	CHEBI:33699
GO:0006409	CHEBI:17843
GO:0006488	CHEBI:61286
GO:0006489	CHEBI:57497
GO:0006505	CHEBI:24410
GO:0006506	CHEBI:24410
GO:0006516	CHEBI:17089
GO:0006518	CHEBI:60466
GO:0006520	CHEBI:35238
GO:0006523	CHEBI:66916
GO:0006525	CHEBI:32696
GO:0006526	CHEBI:32682
GO:0006527	CHEBI:32682
GO:0006530	CHEBI:58048
GO:0006531	CHEBI:35391
GO:0006532	CHEBI:29991
GO:0006533	CHEBI:29991
GO:0006536	CHEBI:14321
GO:0006538	CHEBI:29985
GO:0006540	CHEBI:59888;CHEBI:30031;CHEBI:29985
GO:0006541	CHEBI:58359
GO:0006543	CHEBI:58359
GO:0006544	CHEBI:57305
GO:0006545	CHEBI:57305
GO:0006546	CHEBI:57305
GO:0006548	CHEBI:57595
GO:0006550	CHEBI:58045
GO:0006551	CHEBI:57427
GO:0006552	CHEBI:57427
GO:0006555	CHEBI:57844
GO:0006556	CHEBI:59789
GO:0006559	CHEBI:58095
GO:0006560	CHEBI:60039
GO:0006562	CHEBI:60039
GO:0006563	CHEBI:33384
GO:0006564	CHEBI:33384
GO:0006565	CHEBI:33384
GO:0006566	CHEBI:57926
GO:0006567	CHEBI:57926
GO:0006569	CHEBI:57912
GO:0006571	CHEBI:58315
GO:0006572	CHEBI:58315
GO:0006574	CHEBI:57762
GO:0006575	CHEBI:83821
GO:0006577	CHEBI:22860
GO:0006578	CHEBI:22860
GO:0006579	CHEBI:22860
GO:0006580	CHEBI:57603
GO:0006581	CHEBI:15355
GO:0006582	CHEBI:25179
GO:0006584	CHEBI:33567
GO:0006589	CHEBI:58025
GO:0006591	CHEBI:46912
GO:0006592	CHEBI:46912
GO:0006593	CHEBI:46911
GO:0006595	CHEBI:88061
GO:0006596	CHEBI:88061
GO:0006597	CHEBI:45725
GO:0006598	CHEBI:88061
GO:0006600	CHEBI:57947
GO:0006601	CHEBI:57947
GO:0006602	CHEBI:16737
GO:0006603	CHEBI:58092
GO:0006629	CHEBI:18059
GO:0006631	CHEBI:28868
GO:0006633	CHEBI:28868
GO:0006634	CHEBI:17600
GO:0006636	CHEBI:2580
GO:0006637	CHEBI:58342
GO:0006639	CHEBI:47778
GO:0006640	CHEBI:17408
GO:0006641	CHEBI:17855
GO:0006644	CHEBI:16247
GO:0006646	CHEBI:57613
GO:0006647	CHEBI:57588
GO:0006650	CHEBI:37739
GO:0006651	CHEBI:18035
GO:0006653	CHEBI:57643
GO:0006654	CHEBI:57739
GO:0006655	CHEBI:60523
GO:0006656	CHEBI:64482
GO:0006658	CHEBI:57262
GO:0006659	CHEBI:57262
GO:0006660	CHEBI:57262
GO:0006661	CHEBI:57880
GO:0006663	CHEBI:52450
GO:0006664	CHEBI:33563
GO:0006665	CHEBI:26739
GO:0006667	CHEBI:57817
GO:0006668	CHEBI:57939
GO:0006669	CHEBI:57939
GO:0006670	CHEBI:57756
GO:0006671	CHEBI:64124
GO:0006672	CHEBI:17761
GO:0006673	CHEBI:64916
GO:0006675	CHEBI:64997
GO:0006676	CHEBI:74997
GO:0006677	CHEBI:62941
GO:0006678	CHEBI:36500
GO:0006679	CHEBI:36500
GO:0006680	CHEBI:36500
GO:0006681	CHEBI:36498
GO:0006682	CHEBI:36498
GO:0006683	CHEBI:36498
GO:0006684	CHEBI:17636
GO:0006685	CHEBI:17636
GO:0006686	CHEBI:17636
GO:0006687	CHEBI:24402
GO:0006688	CHEBI:24402
GO:0006689	CHEBI:28892
GO:0006690	CHEBI:62937
GO:0006691	CHEBI:62942
GO:0006692	CHEBI:62943
GO:0006693	CHEBI:59326
GO:0006694	CHEBI:35341
GO:0006695	CHEBI:16113
GO:0006696	CHEBI:16933
GO:0006697	CHEBI:16688
GO:0006699	CHEBI:36235
GO:0006700	CHEBI:64600
GO:0006701	CHEBI:17026
GO:0006704	CHEBI:24261
GO:0006705	CHEBI:25354
GO:0006706	CHEBI:35341
GO:0006707	CHEBI:16113
GO:0006708	CHEBI:16688
GO:0006709	CHEBI:17026
GO:0006712	CHEBI:25354
GO:0006713	CHEBI:24261
GO:0006714	CHEBI:26658
GO:0006715	CHEBI:28600
GO:0006716	CHEBI:24943
GO:0006718	CHEBI:24943
GO:0006719	CHEBI:24943
GO:0006720	CHEBI:24913
GO:0006721	CHEBI:26873
GO:0006722	CHEBI:36615
GO:0006723	CHEBI:24632
GO:0006727	CHEBI:25692
GO:0006728	CHEBI:27601
GO:0006729	CHEBI:15372
GO:0006735	CHEBI:57945;CHEBI:57540
GO:0006738	CHEBI:15927
GO:0006739	CHEBI:58349
GO:0006740	CHEBI:57783;CHEBI:58349
GO:0006741	CHEBI:58349
GO:0006742	CHEBI:58349
GO:0006743	CHEBI:16389
GO:0006744	CHEBI:16389
GO:0006746	CHEBI:58307
GO:0006747	CHEBI:57692
GO:0006749	CHEBI:57925
GO:0006750	CHEBI:57925
GO:0006751	CHEBI:57925
GO:0006753	CHEBI:25608
GO:0006754	CHEBI:30616
GO:0006760	CHEBI:37445
GO:0006761	CHEBI:57451
GO:0006768	CHEBI:57586
GO:0006769	CHEBI:17154
GO:0006771	CHEBI:57986
GO:0006772	CHEBI:18385
GO:0006776	CHEBI:12777
GO:0006777	CHEBI:21437
GO:0006778	CHEBI:26214
GO:0006779	CHEBI:26214
GO:0006780	CHEBI:57308
GO:0006783	CHEBI:30413
GO:0006784	CHEBI:24479
GO:0006785	CHEBI:26355
GO:0006786	CHEBI:61717
GO:0006787	CHEBI:26214
GO:0006790	CHEBI:26835
GO:0006793	CHEBI:26082
GO:0006797	CHEBI:16838
GO:0006798	CHEBI:16838
GO:0006799	CHEBI:16838
GO:0006801	CHEBI:18421
GO:0006809	CHEBI:16480
GO:0006811	CHEBI:24867
GO:0006812	CHEBI:23906
GO:0006813	CHEBI:29103
GO:0006814	CHEBI:29101
GO:0006816	CHEBI:29108
GO:0006817	CHEBI:43474
GO:0006820	CHEBI:23905
GO:0006821	CHEBI:17996
GO:0006824	CHEBI:48828
GO:0006825	CHEBI:23378
GO:0006826	CHEBI:24875
GO:0006828	CHEBI:29035
GO:0006829	CHEBI:29105
GO:0006833	CHEBI:15377
GO:0006835	CHEBI:28965
GO:0006842	CHEBI:35753
GO:0006843	CHEBI:16947
GO:0006846	CHEBI:30089
GO:0006847	CHEBI:30089
GO:0006848	CHEBI:15361
GO:0006849	CHEBI:15361
GO:0006850	CHEBI:15361
GO:0006851	CHEBI:29108
GO:0006857	CHEBI:25676
GO:0006862	CHEBI:36976
GO:0006863	CHEBI:26386
GO:0006864	CHEBI:26441
GO:0006865	CHEBI:35238
GO:0006867	CHEBI:32660
GO:0006868	CHEBI:58359
GO:0006869	CHEBI:18059
GO:0006873	CHEBI:24867
GO:0006874	CHEBI:29108
GO:0006877	CHEBI:48828
GO:0006878	CHEBI:23378
GO:0006879	CHEBI:24875
GO:0006882	CHEBI:29105
GO:0006883	CHEBI:29101
GO:0006982	CHEBI:61051
GO:0008028	CHEBI:35757
GO:0008061	CHEBI:17029
GO:0008066	CHEBI:14321
GO:0008142	CHEBI:53030
GO:0008145	CHEBI:60977
GO:0008153	CHEBI:17836
GO:0008186	CHEBI:33697
GO:0008198	CHEBI:29033
GO:0008199	CHEBI:29034
GO:0008201	CHEBI:24505
GO:0008202	CHEBI:35341
GO:0008203	CHEBI:16113
GO:0008204	CHEBI:16933
GO:0008205	CHEBI:16688
GO:0008206	CHEBI:36235
GO:0008207	CHEBI:64600
GO:0008208	CHEBI:64600
GO:0008211	CHEBI:24261
GO:0008212	CHEBI:25354
GO:0008215	CHEBI:45725
GO:0008216	CHEBI:57834
GO:0008226	CHEBI:327995
GO:0008227	CHEBI:32952
GO:0008270	CHEBI:29105
GO:0008271	CHEBI:16189
GO:0008273	CHEBI:29101;CHEBI:29103;CHEBI:29108
GO:0008281	CHEBI:26831
GO:0008289	CHEBI:18059
GO:0008291	CHEBI:15355
GO:0008292	CHEBI:15355
GO:0008295	CHEBI:57834
GO:0008299	CHEBI:24913
GO:0008300	CHEBI:24913
GO:0008308	CHEBI:23905
GO:0008324	CHEBI:23906
GO:0008429	CHEBI:57613
GO:0008430	CHEBI:26628
GO:0008431	CHEBI:33234
GO:0008490	CHEBI:29242
GO:0008493	CHEBI:77932
GO:0008502	CHEBI:16796
GO:0008503	CHEBI:22720
GO:0008504	CHEBI:63534
GO:0008506	CHEBI:15378;CHEBI:17992
GO:0008507	CHEBI:16382;CHEBI:29101
GO:0008508	CHEBI:29101;CHEBI:3098
GO:0008509	CHEBI:23905
GO:0008510	CHEBI:17544;CHEBI:29101
GO:0008511	CHEBI:17996;CHEBI:29101;CHEBI:29103
GO:0008512	CHEBI:15378;CHEBI:16189
GO:0008515	CHEBI:17992
GO:0008517	CHEBI:62501
GO:0008518	CHEBI:23905;CHEBI:62501
GO:0008519	CHEBI:28938
GO:0008520	CHEBI:29101;CHEBI:38290
GO:0008521	CHEBI:57288
GO:0008525	CHEBI:64482
GO:0008526	CHEBI:57880
GO:0008551	CHEBI:48775
GO:0008553	CHEBI:15378
GO:0008554	CHEBI:29101
GO:0008556	CHEBI:29103
GO:0008558	CHEBI:16235
GO:0008610	CHEBI:18059
GO:0008611	CHEBI:64611
GO:0008612	CHEBI:91175
GO:0008614	CHEBI:16709
GO:0008615	CHEBI:16709
GO:0008616	CHEBI:194431
GO:0008617	CHEBI:16750
GO:0008618	CHEBI:20794
GO:0008643	CHEBI:16646
GO:0008645	CHEBI:18133
GO:0008652	CHEBI:35238
GO:0008653	CHEBI:16412
GO:0008654	CHEBI:16247
GO:0008655	CHEBI:39447
GO:0008658	CHEBI:51356
GO:0008900	CHEBI:15378;CHEBI:29103
GO:0009050	CHEBI:24396
GO:0009051	CHEBI:57783;CHEBI:58349;CHEBI:61548
GO:0009052	CHEBI:57634;CHEBI:59776;CHEBI:58121
GO:0009057	CHEBI:33694
GO:0009059	CHEBI:33694
GO:0009062	CHEBI:28868
GO:0009063	CHEBI:35238
GO:0009067	CHEBI:22658
GO:0009070	CHEBI:26650
GO:0009072	CHEBI:33856
GO:0009073	CHEBI:33856
GO:0009074	CHEBI:33856
GO:0009079	CHEBI:26463
GO:0009081	CHEBI:22918
GO:0009082	CHEBI:22918
GO:0009083	CHEBI:22918
GO:0009084	CHEBI:24318
GO:0009085	CHEBI:32551
GO:0009087	CHEBI:57844
GO:0009088	CHEBI:57926
GO:0009090	CHEBI:57476
GO:0009092	CHEBI:57476
GO:0009094	CHEBI:58095
GO:0009098	CHEBI:57427
GO:0009099	CHEBI:57762
GO:0009100	CHEBI:17089
GO:0009101	CHEBI:17089
GO:0009102	CHEBI:57586
GO:0009103	CHEBI:16412
GO:0009104	CHEBI:16412
GO:0009106	CHEBI:30313
GO:0009107	CHEBI:30313
GO:0009112	CHEBI:18282
GO:0009113	CHEBI:26386
GO:0009114	CHEBI:17368
GO:0009115	CHEBI:15318
GO:0009116	CHEBI:33838
GO:0009117	CHEBI:36976
GO:0009119	CHEBI:18254
GO:0009120	CHEBI:18274
GO:0009123	CHEBI:58043
GO:0009124	CHEBI:58043
GO:0009125	CHEBI:58043
GO:0009126	CHEBI:26392
GO:0009127	CHEBI:26392
GO:0009128	CHEBI:26392
GO:0009129	CHEBI:26438
GO:0009130	CHEBI:26438
GO:0009131	CHEBI:26438
GO:0009132	CHEBI:57930
GO:0009133	CHEBI:57930
GO:0009134	CHEBI:57930
GO:0009135	CHEBI:26391
GO:0009136	CHEBI:26391
GO:0009137	CHEBI:26391
GO:0009138	CHEBI:26437
GO:0009139	CHEBI:26437
GO:0009140	CHEBI:26437
GO:0009141	CHEBI:61557
GO:0009142	CHEBI:61557
GO:0009143	CHEBI:61557
GO:0009144	CHEBI:26393
GO:0009145	CHEBI:26393
GO:0009146	CHEBI:26393
GO:0009147	CHEBI:26439
GO:0009148	CHEBI:26439
GO:0009149	CHEBI:26439
GO:0009150	CHEBI:26400
GO:0009151	CHEBI:26390
GO:0009152	CHEBI:26400
GO:0009153	CHEBI:26390
GO:0009154	CHEBI:26400
GO:0009155	CHEBI:26390
GO:0009156	CHEBI:26558
GO:0009157	CHEBI:19257
GO:0009158	CHEBI:26558
GO:0009159	CHEBI:19257
GO:0009163	CHEBI:33838
GO:0009164	CHEBI:33838
GO:0009165	CHEBI:36976
GO:0009166	CHEBI:36976
GO:0009167	CHEBI:26397
GO:0009168	CHEBI:26397
GO:0009169	CHEBI:26397
GO:0009170	CHEBI:26388
GO:0009171	CHEBI:26388
GO:0009172	CHEBI:26388
GO:0009173	CHEBI:26443
GO:0009174	CHEBI:26443
GO:0009175	CHEBI:26443
GO:0009176	CHEBI:26434
GO:0009177	CHEBI:26434
GO:0009178	CHEBI:26434
GO:0009179	CHEBI:26396
GO:0009180	CHEBI:26396
